"gene_name","original_name","ENTREZ"
"NRF1","NRF1","4899"
"GPX1","GPX1","2876"
"CYCS","CYCS","54205"
"HOMER1","HOMER1","9456"
"GRIA2","GRIA2","2891"
"SYP","SYP","6855"
"SYT1","SYT1","6857"
"CREB1","CREB1/CREB","1385"
"USP16","USP16","10600"
"RGS2","RGS2","5997"
"NPTX1","NPTX1","4884"
"GSTM1","GSTM1","2944"
"NF1","NF1","4763"
"NPTXR","NPTXR","23467"
"KCNE1","KCNE1","3753"
"LTN1","LTN1/ZNF294","26046"
"RGS3","RGS3","5998"
"MRPS6","MRPS6","64968"
"ADRA2B","ADRA2B","151"
"HTR2B","HTR2B","3357"
"NCAM1","NCAM1/NCAMX1","4684"
"BCL2","BCL2","596"
"NPC1","NPC1","4864"
"ADRA1B","ADRA1B","147"
"SLC6A12","SLC6A12/GAT2","6539"
"MRPL39","MRPL39","54148"
"AP1S2","AP1S2","8905"
"DRD1","DRD1","1812"
"KCNJ6","KCNJ6","3763"
"PCBP3","PCBP3","54039"
"GRIN2B","GRIN2B","2904"
"GRIA1","GRIA1","2890"
"SNAP25","SNAP25","6616"
"SOD1","SOD1","6647"
"NRG2","NRG2","9542"
"RRP1B","RRP1B","23076"
"JUNB","JUNB","3726"
"DLG4","DLG4","1742"
"KCNB1","KCNB1","3745"
"SLC2A6","SLC2A6","11182"
"UBASH3A","UBASH3A","53347"
"SLC2A8","SLC2A8","29988"
"RRP1","RRP1","8568"
"ITGA1","ITGA1","3672"
"PAX6","PAX6","5080"
"RASSF2","RASSF2","9770"
"FOS","FOS","2353"
"CHRNB4","CHRNB4","1143"
"SOD2","SOD2","6648"
"KCNA3","KCNA3","3738"
"JUND","JUND","3727"
"SH3BGR","SH3BGR","6450"
"KCNE2","KCNE2","9992"
"LINC00160","LINC00160/C21ORF52","54064"
"RWDD2B","RWDD2B/C21ORF6","10069"
"ITGA3","ITGA3","3675"
"GABRB2","GABRB2","2561"
"CCNE1","CCNE1","898"
"GRIN2C","GRIN2C","2905"
"DBN1","DBN1","1627"
"SYNPO","SYNPO","11346"
"CHRM1","CHRM1","1128"
"GRIN2A","GRIN2A","2903"
"CHRM3","CHRM3","1131"
"PCP4","PCP4","5121"
"HTR2C","HTR2C","3358"
"GRM6","GRM6","2916"
"CHRNA1","CHRNA1","1134"
"KCNA6","KCNA6","3742"
"GALR2","GALR2","8811"
"LINC00320","LINC00320/FLJ37539","387486"
"GALR1","GALR1","2587"
"TMPRSS15","TMPRSS15/PRSS7","5651"
"IGF2R","IGF2R","3482"
"CCND2","CCND2","894"
"RUNX1","RUNX1","861"
"DNM1","DNM1","1759"
"PCNT","PCNT","5116"
"CNR1","CNR1","1268"
"CCK","CCK","885"
"CTNNB1","CTNNB1","1499"
"ATG4A","ATG4A","115201"
"GSR","GSR","2936"
"TAF1","TAF1","6872"
"RELA","RELA","5970"
"NR4A3","NR4A3","8013"
"NAB1","NAB1","4664"
"SNCA","SNCA","6622"
"UBE2E1","UBE2E1","7324"
"VAPB","VAPB","9217"
"PTGS1","PTGS1","5742"
"ESR2","ESR2","2100"
"SST","SST","6750"
"GNAQ","GNAQ","2776"
"GNAL","GNAL","2774"
"ITGA6","ITGA6","3655"
"PRMT1","PRMT1","3276"
"PPP3CA","PPP3CA","5530"
"PRKCE","PRKCE","5581"
"NADSYN1","NADSYN1","55191"
"EP300","EP300","2033"
"ACP2","ACP2","53"
"SNCAIP","SNCAIP","9627"
"GNAI1","GNAI1","2770"
"REST","REST","5978"
"PSEN1","PSEN1","5663"
"PPP2R3A","PPP2R3A","5523"
"GNA15","GNA15","2769"
"GAP43","GAP43","2596"
"SLC2A5","SLC2A5","6518"
"CHRNA6","CHRNA6","8973"
"MAPK14","MAPK14/MAPK","1432"
"GRM3","GRM3","2913"
"CHRNB1","CHRNB1","1140"
"GRIP2","GRIP2","80852"
"CBR1","CBR1","873"
"HSD17B1","HSD17B1","3292"
"STMN2","STMN2","11075"
"MAOB","MAOB","4129"
"ADCY7","ADCY7","113"
"NMRK2","NMRK2","27231"
"STAR","STAR","6770"
"TH","TH","7054"
"SNCB","SNCB","6620"
"CAT","CAT","847"
"ERCC1","ERCC1","2067"
"ITGB1","ITGB1","3688"
"PSMD4","PSMD4","5710"
"CHRNB3","CHRNB3","1142"
"NMNAT2","Nmnat2","23057"
"IRS2","IRS2","8660"
"USP1","USP1","7398"
"CASP5","CASP5","838"
"GNRH1","GNRH1/GNRH","2796"
"PTGS2","PTGS2","5743"
"CHRM4","CHRM4","1132"
"ELAVL3","ELAVL3","1995"
"CYP4F29P","CYP4F29P/C21ORF15","54055"
"DRD4","DRD4","1815"
"SRA1","SRA1","10011"
"CHRNA3","CHRNA3","1136"
"MAN1A1","MAN1A1","4121"
"NMRK1","NMRK1","54981"
"CASP4","CASP4","837"
"POMC","POMC","5443"
"HTR7","HTR7","3363"
"ABL1","ABL1","25"
"PFKL","PFKL","5211"
"APLP1","APLP1","333"
"PPP1CC","PPP1CC","5501"
"CASP6","CASP6","839"
"NCOR1","NCOR1","9611"
"SLC18A3","SLC18A3/VACHT","6572"
"HTR1B","HTR1B","3351"
"GALR3","GALR3","8484"
"GAL","GAL","51083"
"BACH1","BACH1","571"
"GRIP1","GRIP1","23426"
"VDAC2","VDAC2","7417"
"LINC00308","LINC00308/C21ORF74","54143"
"APCS","APCS","325"
"GABRB3","GABRB3","2562"
"ATG4D","ATG4D","84971"
"KCNC1","KCNC1","3746"
"GRIK5","GRIK5","2901"
"LINC00515","LINC00515/C21ORF71","282566"
"CASP3","CASP3","836"
"GADD45B","Gadd45b","4616"
"TFEB","TFEB","7942"
"CHRNB2","CHRNB2","1141"
"MX1","MX1","4599"
"ACAN","ACAN","176"
"NSF","NSF","4905"
"VDAC1","VDAC1","7416"
"PRKAB2","PRKAB2","5565"
"ACTB","ACTB","60"
"NTF3","NTF3","4908"
"GABRA5","GABRA5","2558"
"CASP10","CASP10","843"
"BACH1-IT3","BACH1-IT3/C21ORF8","54147"
"CAST","CAST","831"
"SRR","SRR","63826"
"ANKRD20A1","ANKRD20A1/DKFZP434A171","84210"
"PSEN2","PSEN2","5664"
"KRTAP11-1","KRTAP11-1","337880"
"LCA5L","LCA5L/C21ORF13","150082"
"CASP2","CASP2","835"
"CHRNA2","CHRNA2","1135"
"TIAM1","TIAM1","7074"
"NDEL1","NDEL1/NUDEL","81565"
"ANKRD30BP1","ANKRD30BP1/C21ORF110","642460"
"ADCY8","ADCY8","114"
"SLC6A3","SLC6A3/DAT","6531"
"NCOA2","NCOA2","10499"
"BACE1","BACE1","23621"
"SLC2A2","SLC2A2","6514"
"AFF4","AFF4/LAF4","27125"
"GNB1L","GNB1L/GBL","54584"
"HTR3A","HTR3A/HTR3","3359"
"STMN1","STMN1","3925"
"ECE2","ECE2","9718"
"RGS6","RGS6","9628"
"GRIN2D","GRIN2D","2906"
"DSCR9","DSCR9","257203"
"BMP1","BMP1","649"
"BPTF","BPTF/FALZ","2186"
"LINC00158","LINC00158/C21ORF42","54072"
"KIDINS220","KIDINS220/ARMS","57498"
"COL18A1","COL18A1","80781"
"B3GALT5","B3GALT5","10317"
"RAB3A","RAB3A","5864"
"GABRG2","GABRG2","2566"
"GABRA3","GABRA3","2556"
"FBP2","FBP2","8789"
"SLC6A1","SLC6A1/GAT1","6529"
"CASP8","CASP8","841"
"HMGCR","HMGCR","3156"
"SAMSN1","SAMSN1","64092"
"ITGA4","ITGA4","3676"
"NPC2","NPC2","10577"
"RSPH1","RSPH1/TSGA2","89765"
"RABGGTB","RABGGTB","5876"
"DAO","DAO","1610"
"CASP1","CASP1","834"
"NFKB1","NFKB1/NFKB","4790"
"NR4A2","NR4A2","4929"
"RAB24","RAB24","53917"
"MAOA","MAOA","4128"
"DDX17","DDX17","10521"
"PAM","PAM","5066"
"MAP3K3","MAP3K3","4215"
"RAB6A","RAB6A","5870"
"DSCR4","DSCR4","10281"
"DSCR8","DSCR8","84677"
"GABRA4","GABRA4","2557"
"NR5A1","NR5A1/SF1","2516"
"SF1","NR5A1/SF1","7536"
"PVALB","PVALB","5816"
"APBA1","APBA1","320"
"GABRD","GABRD","2563"
"TREM2","TREM2","54209"
"CASP7","CASP7","840"
"ADCY6","ADCY6","112"
"DBH","DBH","1621"
"CHRNA5","CHRNA5","1138"
"LSS","LSS","4047"
"PARP1","PARP1/ADPRT","142"
"HCRT","Hcrt","3060"
"TNFRSF1A","TNFRSF1A/TR1A","7132"
"CLDN17","CLDN17","26285"
"RBM3","RBM3","5935"
"CYP11B2","CYP11B2","1585"
"TFF2","TFF2","7032"
"MIS18A","MIS18A/C21ORF45","54069"
"CBR3","CBR3","874"
"CARD18","CARD18/ICEBERG","59082"
"MAP1B","MAP1b","4131"
"PPP3CB","PPP3CB","5532"
"GART","GART","2618"
"LINC00189","LINC00189/C21ORF109","193629"
"RGS4","RGS4","5999"
"ADCY1","ADCY1","107"
"LINC00159","LINC00159/C21ORF44","100551499"
"APH1A","APH1A","51107"
"SLC1A1","SLC1A1/EAAT3","6505"
"CALB1","CALB1","793"
"FAM3B","FAM3B","54097"
"CBS","CBS","875"
"FOXO3","Foxo3","2309"
"UCP1","UCP1","7350"
"ADCY2","ADCY2","108"
"FGF2","FGF2","2247"
"SESN2","SESN2","83667"
