fromNode	toNode	weight	direction	fromAltName	toAltName
MEMO1P1/C21ORF19	SLC37A1	0.0513405711144991	undirected	NA	NA
MEMO1P1/C21ORF19	FKTN/FCMD	0.0124563984871356	undirected	NA	NA
MEMO1P1/C21ORF19	FMR1	0.0173418089412931	undirected	NA	NA
MEMO1P1/C21ORF19	ATG4A	0.0409692060536561	undirected	NA	NA
MEMO1P1/C21ORF19	SORCS1	0.0751835469610619	undirected	NA	NA
MEMO1P1/C21ORF19	MYO5B	0.00267629447859966	undirected	NA	NA
MEMO1P1/C21ORF19	GRIK4	0.0364087965013025	undirected	NA	NA
MEMO1P1/C21ORF19	GRIK1	0.0217862560626203	undirected	NA	NA
MEMO1P1/C21ORF19	RGS1	0.039264835197136	undirected	NA	NA
MEMO1P1/C21ORF19	RGS16	0.030460624148159	undirected	NA	NA
MEMO1P1/C21ORF19	DRD2	0.0346961625199485	undirected	NA	NA
MEMO1P1/C21ORF19	GAD2/GAD65	0.0116699807601781	undirected	NA	NA
MEMO1P1/C21ORF19	GRM4	0.0070555138417033	undirected	NA	NA
MEMO1P1/C21ORF19	GRM1	0.017819412031178	undirected	NA	NA
MEMO1P1/C21ORF19	RGS9	0.00698472226332651	undirected	NA	NA
MEMO1P1/C21ORF19	BDNF	0.0343552014862049	undirected	NA	NA
MEMO1P1/C21ORF19	SLC6A4/SERT	0.031897295373735	undirected	NA	NA
MEMO1P1/C21ORF19	SLC6A3/DAT	0.015152733123566	undirected	NA	NA
MEMO1P1/C21ORF19	SLC18A3/VACHT	0.017128593426845	undirected	NA	NA
MEMO1P1/C21ORF19	PAM	0.00971048223604615	undirected	NA	NA
SLC37A1	FKTN/FCMD	0.0734510983822423	undirected	NA	NA
SLC37A1	FMR1	0.104713139484832	undirected	NA	NA
SLC37A1	ATG4A	0.0139560847117689	undirected	NA	NA
SLC37A1	SORCS1	0.0912239189668554	undirected	NA	NA
SLC37A1	MYO5B	0.00883475150737027	undirected	NA	NA
SLC37A1	GRIK4	0.058049366318397	undirected	NA	NA
SLC37A1	GRIK1	0.0482461195038935	undirected	NA	NA
SLC37A1	RGS1	0.069318187068041	undirected	NA	NA
SLC37A1	RGS16	0.0763208134053556	undirected	NA	NA
SLC37A1	DRD2	0.0547520438834457	undirected	NA	NA
SLC37A1	GAD2/GAD65	0.0290213172131886	undirected	NA	NA
SLC37A1	GRM4	0.0323896017294928	undirected	NA	NA
