fromNode	toNode	weight	direction	fromAltName	toAltName
ADAM9	HTT/HD	3.59166932903457e-05	undirected	NA	NA
ADAM9	FADD	0.0437225823177149	undirected	NA	NA
ADAM9	UTRN	0.000220418359601824	undirected	NA	NA
ADAM9	PCNT	5.56732144265066e-06	undirected	NA	NA
ADAM9	RBM11	5.74518975744694e-05	undirected	NA	NA
ADAM9	GRIK2	8.7979733385015e-05	undirected	NA	NA
ADAM9	IGF1	2.40547196957242e-06	undirected	NA	NA
ADAM9	GDNF	2.05334561519058e-06	undirected	NA	NA
ADAM9	ADCY4	2.37842464272305e-07	undirected	NA	NA
ADAM9	CRH	5.98089424661332e-06	undirected	NA	NA
ADAM9	GAL	2.56769155275633e-06	undirected	NA	NA
ADAM9	CDK2	4.67152436602578e-05	undirected	NA	NA
ADAM9	CDK5R1	2.19039917506767e-08	undirected	NA	NA
ADAM9	PPP2CA	5.47299351880787e-06	undirected	NA	NA
ADAM9	CAPN1	0.000330983469731879	undirected	NA	NA
ADAM9	GPX1	1.10065538624852e-07	undirected	NA	NA
ADAM9	SYN3	1.15344569896125e-06	undirected	NA	NA
ADAM9	REST	1.03202149079866e-08	undirected	NA	NA
ADAM9	SP1	2.36354851807338e-06	undirected	NA	NA
HTT/HD	FADD	0.000533783981281549	undirected	NA	NA
HTT/HD	UTRN	0.000233139145768512	undirected	NA	NA
HTT/HD	PCNT	0.0278147982298136	undirected	NA	NA
HTT/HD	RBM11	0.0333926739448997	undirected	NA	NA
HTT/HD	GRIK2	0.0252328985790036	undirected	NA	NA
HTT/HD	IGF1	0.00387827984999637	undirected	NA	NA
HTT/HD	GDNF	0.00453502119807603	undirected	NA	NA
HTT/HD	ADCY4	0.00346135269957543	undirected	NA	NA
HTT/HD	CRH	4.16509048761061e-05	undirected	NA	NA
HTT/HD	GAL	5.44813136885769e-06	undirected	NA	NA
HTT/HD	CDK2	3.79088593590861e-07	undirected	NA	NA
HTT/HD	CDK5R1	0.000254793442559893	undirected	NA	NA
HTT/HD	PPP2CA	5.50733570662496e-05	undirected	NA	NA
HTT/HD	CAPN1	4.22888229884949e-06	undirected	NA	NA
HTT/HD	GPX1	1.98131225334074e-05	undirected	NA	NA
HTT/HD	SYN3	1.44179894962427e-09	undirected	NA	NA
HTT/HD	REST	1.46504880089546e-08	undirected	NA	NA
HTT/HD	SP1	4.16568067512806e-05	undirected	NA	NA
FADD	UTRN	0.000177782191026775	undirected	NA	NA
FADD	PCNT	2.18933274000121e-05	undirected	NA	NA
FADD	RBM11	0.00128716848606794	undirected	NA	NA
FADD	GRIK2	0.00166677181217915	undirected	NA	NA
FADD	IGF1	0.000121555992143245	undirected	NA	NA
FADD	GDNF	0.00012582681497049	undirected	NA	NA
FADD	ADCY4	1.91945348958768e-05	undirected	NA	NA
FADD	CRH	1.40073525632e-05	undirected	NA	NA
FADD	GAL	4.05096347348243e-07	undirected	NA	NA
FADD	CDK2	6.80313328543153e-05	undirected	NA	NA
FADD	CDK5R1	7.79445373839085e-07	undirected	NA	NA
FADD	PPP2CA	1.11404284879215e-05	undirected	NA	NA
FADD	CAPN1	0.000216340268573516	undirected	NA	NA
FADD	GPX1	5.02128695622879e-08	undirected	NA	NA
FADD	SYN3	1.5386260119428e-07	undirected	NA	NA
FADD	REST	2.89799885460122e-09	undirected	NA	NA
FADD	SP1	1.10175064102128e-05	undirected	NA	NA
UTRN	PCNT	1.66609320462736e-05	undirected	NA	NA
UTRN	RBM11	0.00535592055957888	undirected	NA	NA
UTRN	GRIK2	0.0055125640766093	undirected	NA	NA
UTRN	IGF1	0.00668755907323964	undirected	NA	NA
UTRN	GDNF	0.00262417606083172	undirected	NA	NA
UTRN	ADCY4	0.000167457571206528	undirected	NA	NA
UTRN	CRH	2.66275014742419e-07	undirected	NA	NA
UTRN	GAL	3.0963807423642e-07	undirected	NA	NA
UTRN	CDK2	0.00147679623729902	undirected	NA	NA
UTRN	CDK5R1	1.55001640261567e-06	undirected	NA	NA
UTRN	PPP2CA	0.00162416307816396	undirected	NA	NA
UTRN	CAPN1	0.000358026611123749	undirected	NA	NA
UTRN	GPX1	9.86749145539445e-09	undirected	NA	NA
UTRN	SYN3	5.80386775277866e-07	undirected	NA	NA
UTRN	REST	5.88921870579215e-07	undirected	NA	NA
UTRN	SP1	0.000736727273608222	undirected	NA	NA
PCNT	RBM11	0.00231827558469159	undirected	NA	NA
PCNT	GRIK2	0.00161787222522054	undirected	NA	NA
PCNT	IGF1	0.00108757141705866	undirected	NA	NA
PCNT	GDNF	0.00119976612153902	undirected	NA	NA
PCNT	ADCY4	0.000740342604848897	undirected	NA	NA
