fromNode	toNode	weight	direction	fromAltName	toAltName
APLP2	TRADD	0.0022663755024811	undirected	NA	NA
APLP2	TP53	0.00232821312151586	undirected	NA	NA
APLP2	CCNB1	0.0140575778772797	undirected	NA	NA
APLP2	ACTG	0.0631425880209161	undirected	NA	NA
APLP2	BTG3	0.0876011813055738	undirected	NA	NA
APLP2	LRP1	0.0572747978523962	undirected	NA	NA
APLP2	MAPT1	0.00399854071236975	undirected	NA	NA
APLP2	SORL1	0.00472579837887746	undirected	NA	NA
APLP2	CLIC6	0.00350304880864893	undirected	NA	NA
APLP2	CLCN5	0.00278083445182796	undirected	NA	NA
APLP2	NEFL	0.00155633217468752	undirected	NA	NA
APLP2	DNMT3L	0.00307995411519041	undirected	NA	NA
APLP2	CCT8	0.00781553570445148	undirected	NA	NA
APLP2	U2AF1	0.00337393905872109	undirected	NA	NA
APLP2	RAB11A	0.00115967321236428	undirected	NA	NA
APLP2	RAB10	0.00342308992024567	undirected	NA	NA
APLP2	DBN1	0.000323082491638113	undirected	NA	NA
APLP2	ATG10	0.00162046287791642	undirected	NA	NA
APLP2	ATG12	0.00528558338078237	undirected	NA	NA
APLP2	SORCS2	0.00732385837060538	undirected	NA	NA
APLP2	RAB7A	0.00446831799783294	undirected	NA	NA
APLP2	PPT1	0.000795330529367	undirected	NA	NA
APLP2	GABRA1	0.00473872468853263	undirected	NA	NA
APLP2	GABRB1	0.00188863267683637	undirected	NA	NA
APLP2	NOS1	0.00233699726614916	undirected	NA	NA
APLP2	GRIN1	0.00552880261105475	undirected	NA	NA
APLP2	GRIK3	0.00563670724691427	undirected	NA	NA
APLP2	ITPR1	0.00215139162381689	undirected	NA	NA
APLP2	RGS10	0.000826692372364873	undirected	NA	NA
APLP2	RGS12	0.00515017649367648	undirected	NA	NA
APLP2	RGS13	0.000828954010323157	undirected	NA	NA
APLP2	JUNB	6.83868694429661e-05	undirected	NA	NA
APLP2	DRD3	0.00165424030292773	undirected	NA	NA
APLP2	GABRG3	0.00457030849515852	undirected	NA	NA
APLP2	GAD1/GAD67	0.00461911689612799	undirected	NA	NA
APLP2	SLC6A11/GAT4	0.00164274115352601	undirected	NA	NA
APLP2	PFKM	0.00385794355218687	undirected	NA	NA
APLP2	PFKP	0.00663007459072204	undirected	NA	NA
APLP2	SLC2A1	0.00321230600617678	undirected	NA	NA
APLP2	GRM5	0.000727832636888241	undirected	NA	NA
APLP2	GRM2	0.00739413754497333	undirected	NA	NA
APLP2	RGS7	0.00312973637120198	undirected	NA	NA
APLP2	ARC	0.000296155360228497	undirected	NA	NA
APLP2	FOSB	0.00071956402020481	undirected	NA	NA
APLP2	JUN/CJUN	0.00214138948389797	undirected	NA	NA
APLP2	CHRM2	0.000343689475840545	undirected	NA	NA
APLP2	SLC6A2/NET	0.00377463529122119	undirected	NA	NA
TRADD	TP53	0.0794969334070193	undirected	NA	NA
TRADD	CCNB1	0.090593775125018	undirected	NA	NA
TRADD	ACTG	0.0119920539085173	undirected	NA	NA
TRADD	BTG3	0.00927066379939014	undirected	NA	NA
TRADD	LRP1	0.0127063333886572	undirected	NA	NA
TRADD	MAPT1	0.0027285341091309	undirected	NA	NA
TRADD	SORL1	0.0644599046691438	undirected	NA	NA
TRADD	CLIC6	0.109802398036091	undirected	NA	NA
TRADD	CLCN5	0.0333665950843556	undirected	NA	NA
TRADD	NEFL	0.071641216483044	undirected	NA	NA
TRADD	DNMT3L	0.0761774864438713	undirected	NA	NA
TRADD	CCT8	0.0366437215655152	undirected	NA	NA
TRADD	U2AF1	0.0217267237042498	undirected	NA	NA
TRADD	RAB11A	0.0142886571743151	undirected	NA	NA
TRADD	RAB10	0.08781615214496	undirected	NA	NA
TRADD	DBN1	0.00151843348931089	undirected	NA	NA
TRADD	ATG10	0.0112495698820615	undirected	NA	NA
TRADD	ATG12	0.0976623899454457	undirected	NA	NA
TRADD	SORCS2	0.0421492592025116	undirected	NA	NA
TRADD	RAB7A	0.0518989027336952	undirected	NA	NA
TRADD	PPT1	0.00643211666365586	undirected	NA	NA
TRADD	GABRA1	0.0164330387279676	undirected	NA	NA
TRADD	GABRB1	0.0786397307726381	undirected	NA	NA
TRADD	NOS1	0.0798081736047383	undirected	NA	NA
TRADD	GRIN1	0.0546498360328581	undirected	NA	NA
TRADD	GRIK3	0.0539111452765965	undirected	NA	NA
TRADD	ITPR1	0.00977880763527465	undirected	NA	NA
TRADD	RGS10	0.0270917164269878	undirected	NA	NA
TRADD	RGS12	0.0456802600527548	undirected	NA	NA
TRADD	RGS13	0.0366846778621855	undirected	NA	NA
TRADD	JUNB	0.0252911260717771	undirected	NA	NA
TRADD	DRD3	0.0261694686358932	undirected	NA	NA
TRADD	GABRG3	0.020113988143438	undirected	NA	NA
TRADD	GAD1/GAD67	0.0181143372862889	undirected	NA	NA
TRADD	SLC6A11/GAT4	0.0110438803235962	undirected	NA	NA
TRADD	PFKM	0.0804470899553275	undirected	NA	NA
TRADD	PFKP	0.0299383396849964	undirected	NA	NA
TRADD	SLC2A1	0.102149343445026	undirected	NA	NA
TRADD	GRM5	0.0392519566849081	undirected	NA	NA
TRADD	GRM2	0.0430821483131555	undirected	NA	NA
TRADD	RGS7	0.0305479287458289	undirected	NA	NA
TRADD	ARC	0.00871653928610818	undirected	NA	NA
TRADD	FOSB	0.015442692841809	undirected	NA	NA
TRADD	JUN/CJUN	0.0769015929168633	undirected	NA	NA
TRADD	CHRM2	0.0481628262020964	undirected	NA	NA
TRADD	SLC6A2/NET	0.0363545817060395	undirected	NA	NA
TP53	CCNB1	0.0525540386639234	undirected	NA	NA
TP53	ACTG	0.0023757001249328	undirected	NA	NA
TP53	BTG3	0.0015526746773285	undirected	NA	NA
TP53	LRP1	0.00137152818135694	undirected	NA	NA
TP53	MAPT1	0.00125519014984015	undirected	NA	NA
TP53	SORL1	0.203479023772249	undirected	NA	NA
TP53	CLIC6	0.0916472892731441	undirected	NA	NA
TP53	CLCN5	0.0133209844139496	undirected	NA	NA
TP53	NEFL	0.0262867082457994	undirected	NA	NA
TP53	DNMT3L	0.165924134669438	undirected	NA	NA
TP53	CCT8	0.0179788939481885	undirected	NA	NA
TP53	U2AF1	0.00762402068125011	undirected	NA	NA
TP53	RAB11A	0.00980175245060307	undirected	NA	NA
TP53	RAB10	0.093028549212202	undirected	NA	NA
TP53	DBN1	0.000166075753943616	undirected	NA	NA
TP53	ATG10	0.0044247932447929	undirected	NA	NA
TP53	ATG12	0.0586564850694492	undirected	NA	NA
TP53	SORCS2	0.0307312954058623	undirected	NA	NA
TP53	RAB7A	0.0159794657239432	undirected	NA	NA
TP53	PPT1	0.00883004140324826	undirected	NA	NA
TP53	GABRA1	0.000629601690873641	undirected	NA	NA
TP53	GABRB1	0.01423628499558	undirected	NA	NA
TP53	NOS1	0.0838410817345312	undirected	NA	NA
TP53	GRIN1	0.00596737785456839	undirected	NA	NA
TP53	GRIK3	0.00544368473881844	undirected	NA	NA
TP53	ITPR1	0.0046113238877508	undirected	NA	NA
TP53	RGS10	0.0151110790613164	undirected	NA	NA
TP53	RGS12	0.00809571057286052	undirected	NA	NA
TP53	RGS13	0.0105259248596014	undirected	NA	NA
TP53	JUNB	0.00838828167297338	undirected	NA	NA
TP53	DRD3	0.00669034032018025	undirected	NA	NA
TP53	GABRG3	0.00738289754339593	undirected	NA	NA
TP53	GAD1/GAD67	0.00399310839780095	undirected	NA	NA
TP53	SLC6A11/GAT4	0.00406215020657194	undirected	NA	NA
TP53	PFKM	0.0885638332139186	undirected	NA	NA
TP53	PFKP	0.0480538059627683	undirected	NA	NA
TP53	SLC2A1	0.0348830061392541	undirected	NA	NA
TP53	GRM5	0.0232539622715912	undirected	NA	NA
TP53	GRM2	0.00449571436324496	undirected	NA	NA
TP53	RGS7	0.00429738574957405	undirected	NA	NA
TP53	ARC	0.00300753162318082	undirected	NA	NA
TP53	FOSB	0.00463304853754162	undirected	NA	NA
TP53	JUN/CJUN	0.0132815601034505	undirected	NA	NA
TP53	CHRM2	0.0246301660217278	undirected	NA	NA
