fromNode	toNode	weight	direction	fromAltName	toAltName
KCNIP1/KCNIP	APPBP1	0.221890411397324	undirected	NA	NA
KCNIP1/KCNIP	B2M	0.155426223956546	undirected	NA	NA
KCNIP1/KCNIP	BACE2	0.0626457729525858	undirected	NA	NA
KCNIP1/KCNIP	CCND1	0.229179968998066	undirected	NA	NA
KCNIP1/KCNIP	AQP1	0.158714189877445	undirected	NA	NA
KCNIP1/KCNIP	C21ORF62	0.121888282810366	undirected	NA	NA
KCNIP1/KCNIP	ERG	0.0703878088484636	undirected	NA	NA
KCNIP1/KCNIP	N6AMT1/C21ORF127	0.15602229494409	undirected	NA	NA
KCNIP1/KCNIP	MX2	0.0882965045420823	undirected	NA	NA
KCNIP1/KCNIP	TPTE	0.0476910908379278	undirected	NA	NA
KCNIP1/KCNIP	TRAPPC10/TMEM1	0.046314945863978	undirected	NA	NA
KCNIP1/KCNIP	CSNK1A1	0.0268998539041645	undirected	NA	NA
KCNIP1/KCNIP	IFNGR2	0.0588575534983079	undirected	NA	NA
KCNIP1/KCNIP	SNRNP70	0.0458344593348047	undirected	NA	NA
KCNIP1/KCNIP	GNAT2	0.0517714900348675	undirected	NA	NA
KCNIP1/KCNIP	GNAZ	0.0261664249592142	undirected	NA	NA
KCNIP1/KCNIP	GNG2	0.00318977691653859	undirected	NA	NA
APPBP1	B2M	0.235138922265945	undirected	NA	NA
APPBP1	BACE2	0.0794406524324892	undirected	NA	NA
APPBP1	CCND1	0.319629121625525	undirected	NA	NA
APPBP1	AQP1	0.27652629233564	undirected	NA	NA
APPBP1	C21ORF62	0.169325839011854	undirected	NA	NA
APPBP1	ERG	0.122133276213973	undirected	NA	NA
APPBP1	N6AMT1/C21ORF127	0.225834199222914	undirected	NA	NA
APPBP1	MX2	0.156472446378456	undirected	NA	NA
APPBP1	TPTE	0.0666155641459045	undirected	NA	NA
APPBP1	TRAPPC10/TMEM1	0.0607382734543537	undirected	NA	NA
APPBP1	CSNK1A1	0.0395236065396169	undirected	NA	NA
APPBP1	IFNGR2	0.0779361238186758	undirected	NA	NA
APPBP1	SNRNP70	0.0705441105153291	undirected	NA	NA
APPBP1	GNAT2	0.0926404813942	undirected	NA	NA
APPBP1	GNAZ	0.0414149355461316	undirected	NA	NA
APPBP1	GNG2	0.00503001315435182	undirected	NA	NA
B2M	BACE2	0.0510124050439345	undirected	NA	NA
B2M	CCND1	0.355138158506791	undirected	NA	NA
B2M	AQP1	0.361898950143318	undirected	NA	NA
B2M	C21ORF62	0.149935613448067	undirected	NA	NA
B2M	ERG	0.127730045600724	undirected	NA	NA
B2M	N6AMT1/C21ORF127	0.233431790030151	undirected	NA	NA
B2M	MX2	0.188071422205007	undirected	NA	NA
B2M	TPTE	0.051397676733658	undirected	NA	NA
B2M	TRAPPC10/TMEM1	0.0423622128468927	undirected	NA	NA
B2M	CSNK1A1	0.0540068164200431	undirected	NA	NA
B2M	IFNGR2	0.0535871639401157	undirected	NA	NA
B2M	SNRNP70	0.071850088586002	undirected	NA	NA
B2M	GNAT2	0.153806695277054	undirected	NA	NA
B2M	GNAZ	0.0460351483837744	undirected	NA	NA
B2M	GNG2	0.00608062818737027	undirected	NA	NA
BACE2	CCND1	0.0806445401947526	undirected	NA	NA
BACE2	AQP1	0.0505604170343958	undirected	NA	NA
BACE2	C21ORF62	0.172453039895516	undirected	NA	NA
BACE2	ERG	0.0497108842109123	undirected	NA	NA
BACE2	N6AMT1/C21ORF127	0.154264600014264	undirected	NA	NA
BACE2	MX2	0.0580000057329991	undirected	NA	NA
BACE2	TPTE	0.153492979499769	undirected	NA	NA
BACE2	TRAPPC10/TMEM1	0.18971379622127	undirected	NA	NA
BACE2	CSNK1A1	0.0926528589021963	undirected	NA	NA
BACE2	IFNGR2	0.187439898462582	undirected	NA	NA
BACE2	SNRNP70	0.0694273490043418	undirected	NA	NA
BACE2	GNAT2	0.0396295996504459	undirected	NA	NA
BACE2	GNAZ	0.0566203536526595	undirected	NA	NA
BACE2	GNG2	0.0145994891984497	undirected	NA	NA
CCND1	AQP1	0.410786323138607	undirected	NA	NA
CCND1	C21ORF62	0.186787164226432	undirected	NA	NA
