fromNode	toNode	weight	direction	fromAltName	toAltName
DYRK3	MAPK12/SAPK3	0.11461288042511	undirected	NA	NA
DYRK3	MAPK1/ERK2	0.172362011878074	undirected	NA	NA
DYRK3	PRKAB1	0.20776744152201	undirected	NA	NA
DYRK3	PRKAA2	0.0795195579563609	undirected	NA	NA
DYRK3	NEU1	0.0490807206865259	undirected	NA	NA
DYRK3	BSN	0.0837779559182199	undirected	NA	NA
DYRK3	STARD3NL	0.0244750236407074	undirected	NA	NA
DYRK3	NSF	0.0169007545016363	undirected	NA	NA
DYRK3	SAP47	0.0344951862395235	undirected	NA	NA
DYRK3	SYN1	0.00990911062725164	undirected	NA	NA
DYRK3	STX7	0.0148376654255304	undirected	NA	NA
DYRK3	STX5A	0.00498860300102516	undirected	NA	NA
DYRK3	ATF5	0.0215097251123851	undirected	NA	NA
DYRK3	ERCC1	0.00979475172981811	undirected	NA	NA
DYRK3	RBM3	0.00728721164667188	undirected	NA	NA
DYRK3	RHEB/RHEB2	0.0302996257450664	undirected	NA	NA
DYRK3	TREM2	0.00371463615263433	undirected	NA	NA
DYRK3	TFEB	0.0048644103789363	undirected	NA	NA
MAPK12/SAPK3	MAPK1/ERK2	0.153141763852291	undirected	NA	NA
MAPK12/SAPK3	PRKAB1	0.161435529402085	undirected	NA	NA
MAPK12/SAPK3	PRKAA2	0.137570261672128	undirected	NA	NA
MAPK12/SAPK3	NEU1	0.0641623342401947	undirected	NA	NA
MAPK12/SAPK3	BSN	0.0618755899002601	undirected	NA	NA
MAPK12/SAPK3	STARD3NL	0.0463174879996361	undirected	NA	NA
MAPK12/SAPK3	NSF	0.0146687871677371	undirected	NA	NA
MAPK12/SAPK3	SAP47	0.0216389198823419	undirected	NA	NA
MAPK12/SAPK3	SYN1	0.00581996739105495	undirected	NA	NA
MAPK12/SAPK3	STX7	0.033608064406879	undirected	NA	NA
MAPK12/SAPK3	STX5A	0.00477702000368247	undirected	NA	NA
MAPK12/SAPK3	ATF5	0.0162580941075203	undirected	NA	NA
MAPK12/SAPK3	ERCC1	0.00982751948917081	undirected	NA	NA
