nodeName	altName	nodeAttr[nodesPresent, ]
MAPK3/ERK1	NA	black
PPP2R1A	NA	NA
PRKAG1	NA	NA
PRKAG2	NA	NA
BAP1	NA	NA
FASN	NA	NA
IDE	NA	NA
MME/NEP	NA	NA
USP8	NA	NA
ACSS1	NA	NA
ACSS2	NA	NA
CCAR2	NA	NA
EPAS1	NA	NA
Foxo1	NA	NA
RARB	NA	NA
Naprt1	NA	NA
HIC1	NA	NA
SESN3	NA	NA
SIRT1	NA	NA
SIRT2	NA	NA
SIRT3	NA	NA
SIRT4	NA	NA
SIRT5	NA	NA
SIRT7	NA	NA
GH1	NA	NA
DNAJB6	NA	NA
DNAJA1	NA	NA
Cox4i1	NA	NA
HSF2BP	NA	NA
HSP90AA1	NA	NA
HSPA13/STCH	NA	NA
HSPA8/HSC70	NA	NA
CARM1	NA	NA
AR	NA	NA
UCP3	NA	NA
UCP2	NA	NA
Tfam	NA	NA
ESR1	NA	NA
NR3C2	NA	NA
DLG3	NA	NA
STX4A	NA	NA
SNCAIP	NA	NA
SNAP29	NA	NA
SYNGR1	NA	NA
SYNJ1	NA	NA
DDX1	NA	NA
CREBBP	NA	NA
ERN1	NA	NA
MLH1	NA	NA
RPS19BP1	NA	NA
