nodeName	altName	nodeAttr[nodesPresent, ]
MAPT2N6D	NA	blue
MAPT2N6P	NA	NA
MAPT3	NA	NA
MAPT4	NA	NA
PARK7/DJ1	NA	NA
PSEN1	NA	NA
CALB1	NA	NA
RASSF2	NA	NA
AP1S2	NA	NA
HSPG2	NA	NA
ITGA1	NA	NA
ITGA3	NA	NA
ITGA4	NA	NA
ITGA6	NA	NA
ITGB1	NA	NA
LAMA2	NA	NA
MAP1b	NA	NA
NCAM1/NCAMX1	NA	NA
CYP4F29P/C21ORF15	NA	NA
COL18A1	NA	NA
CLDN17	NA	NA
PSEN2	NA	NA
VLDLR	NA	NA
BCL2	NA	NA
KCNC1	NA	NA
KCNB1	NA	NA
KCNA6	NA	NA
DPP10	NA	NA
DSCR9	NA	NA
DSCR1	NA	NA
KRTAP11-1	NA	NA
LCA5L/C21ORF13	NA	NA
LINC00158/C21ORF42	NA	NA
LINC00159/C21ORF44	NA	NA
LINC00160/C21ORF52	NA	NA
LINC00189/C21ORF109	NA	NA
LINC00308/C21ORF74	NA	NA
LINC00320/FLJ37539	NA	NA
LINC00478/C21ORF34	NA	NA
LINC00515/C21ORF71	NA	NA
SIM2	NA	NA
SH3BGR	NA	NA
SETD4	NA	NA
SCAF4/SFRS15/CTDBP	NA	NA
SAMSN1	NA	NA
RWDD2B/C21ORF6	NA	NA
RUNX1	NA	NA
RSPH1/TSGA2	NA	NA
PCBP3	NA	NA
UBASH3A	NA	NA
USP16	NA	NA
NDEL1/NUDEL	NA	NA
NF1	NA	NA
NOTCH1	NA	NA
NRG2	NA	NA
NTN1	NA	NA
PAFAH1B1/LIS1	NA	NA
PAX6	NA	NA
RELN	NA	NA
RAB6A	NA	NA
RAB5A	NA	NA
RAB4A	NA	NA
RAB3A	NA	NA
RAB2A	NA	NA
RAB27A	NA	NA
RAB24	NA	NA
RAB11B	NA	NA
CTSL	NA	NA
KCNE1	NA	NA
KCNE2	NA	NA
KCNJ6	NA	NA
LSS	NA	NA
LTN1/ZNF294	NA	NA
MIS18A/C21ORF45	NA	NA
MRPL39	NA	NA
MRPS6	NA	NA
MX1	NA	NA
TMPRSS15/PRSS7	NA	NA
TIAM1	NA	NA
TFF2	NA	NA
TFF1	NA	NA
TCP10L	NA	NA
SUMO3	NA	NA
RRP1B	NA	NA
RRP1	NA	NA
ATG4D	NA	NA
SORT1	NA	NA
RABGGTB	NA	NA
RAB9	NA	NA
NPC1	NA	NA
BMP1	NA	NA
CSF1	NA	NA
GFAP	NA	NA
IL6	NA	NA
SRR	NA	NA
SLC1A1/EAAT3	NA	NA
JUND	NA	NA
ACHE	NA	NA
ADRA1B	NA	NA
ADRA2A	NA	NA
ADRA2B	NA	NA
CART	NA	NA
CHRM4	NA	NA
CHRM1	NA	NA
IRS2	NA	NA
IGF2R	NA	NA
IGF2	NA	NA
HTR2B	NA	NA
DRD1	NA	NA
SLC6A12/GAT2	NA	NA
PFKL	NA	NA
SLC2A2	NA	NA
SLC2A5	NA	NA
SLC2A6	NA	NA
SLC2A8	NA	NA
GNAQ	NA	NA
GNAL	NA	NA
GNAI1	NA	NA
GNA15	NA	NA
ADCY7	NA	NA
GRM6	NA	NA
FOS	NA	NA
CHRM3	NA	NA
CHRNA1	NA	NA
CHRNA6	NA	NA
CHRNA7	NA	NA
CNR1	NA	NA
CCK	NA	NA
NTF3	NA	NA
PPP1CB	NA	NA
pBs	NA	NA
NTRK1	NA	NA
