nodeName	altName	nodeAttr[nodesPresent, ]
APP/ABPP	NA	brown
MAPT1N6P	NA	NA
MAPT2	NA	NA
MAPT5	NA	NA
MAPT	NA	NA
PRNP	NA	NA
CLCN4	NA	NA
CLCN2	NA	NA
CALB2	NA	NA
CACNA1C	NA	NA
CACNA1B	NA	NA
CACNA1A	NA	NA
RBL2	NA	NA
RAP1B	NA	NA
COL6A1	NA	NA
CLDN8	NA	NA
CLDN14	NA	NA
CHODL-AS1/C21ORF39	NA	NA
HDLBP	NA	NA
IAPP	NA	NA
PSENEN	NA	NA
SAA4	NA	NA
TARDBP	NA	NA
TOMM40	NA	NA
AIFM1/PCD8	NA	NA
BAX	NA	NA
KCNA3	NA	NA
KCNA2	NA	NA
DPP6	NA	NA
CLCN7	NA	NA
CLCN6	NA	NA
KRAS/RAS	NA	NA
NEFH	NA	NA
NEFM/NEF3	NA	NA
NES	NA	NA
POTED/ANDRK21	NA	NA
TUBA1	NA	NA
TUBB2C	NA	NA
VCAN/CSPG2	NA	NA
ABCC13	NA	NA
ADAMTS1	NA	NA
ADAMTS5	NA	NA
DSCR8	NA	NA
DSCR4	NA	NA
DSCR10	NA	NA
DSCAM	NA	NA
DONSON	NA	NA
DNAJC28/C21ORF55	NA	NA
KRTAP6-1	NA	NA
LINC00113/C21ORF23	NA	NA
SIK1/SNF1LK	NA	NA
S100B	NA	NA
RUNX1-IT1/C21ORF96	NA	NA
LMX1A/LMX1	NA	NA
NRG1	NA	NA
RAB1A	NA	NA
PPT2	NA	NA
LRRC3	NA	NA
MAP3K7CL/C21ORF7	NA	NA
MCM3AP	NA	NA
MORC3/ZCWCC3	NA	NA
MRAP	NA	NA
TMEM50B/C21ORF4	NA	NA
SON	NA	NA
SMIM11/C21ORF51	NA	NA
SLC5A3	NA	NA
TSC2	NA	NA
APPL1	NA	NA
ARHGDIB	NA	NA
ATG3	NA	NA
ATG4B	NA	NA
ATG4C	NA	NA
MBD3	NA	NA
MBD2	NA	NA
HDAC6	NA	NA
HDAC1	NA	NA
DNMT1	NA	NA
AGER	NA	NA
APOE	NA	NA
IL1B	NA	NA
TNFRSF1A/TR1A	NA	NA
ADCY2	NA	NA
ADCY1	NA	NA
TGM1/TGMI	NA	NA
SLC1A3/EAAT1	NA	NA
SLC1A2/EAAT2	NA	NA
NOS2A	NA	NA
GRM8	NA	NA
GRM7	NA	NA
BCHE	NA	NA
CHRM5	NA	NA
NRP1/NRP	NA	NA
NGFR/TNFR	NA	NA
NGFB	NA	NA
KIDINS220/ARMS	NA	NA
IGF1R/IGFIR/IGFR1	NA	NA
FGF2	NA	NA
CNTF	NA	NA
FBP1	NA	NA
FBP2	NA	NA
ADCY9	NA	NA
ADCY8	NA	NA
ADCY6	NA	NA
ADCY5	NA	NA
ADCY3	NA	NA
FOSL2/FOSLR	NA	NA
CHRNA2	NA	NA
CHRNA3	NA	NA
CHRNA4	NA	NA
CHRNA5	NA	NA
CHRNB1	NA	NA
CHRNB2	NA	NA
STMN2	NA	NA
STMN1	NA	NA
NTF5	NA	NA
TH	NA	NA
NTRK3	NA	NA
