nodeName	altName	nodeAttr[nodesPresent, ]
KCND3	NA	green
AIRE	NA	NA
ARMCX2	NA	NA
CCNF	NA	NA
C21ORF54	NA	NA
ETS2	NA	NA
TMPRSS2	NA	NA
TMPRSS3	NA	NA
BECN1/BECN	NA	NA
ATP6V0A1/VPP1	NA	NA
IFNAR1	NA	NA
IFNAR2	NA	NA
POFUT2	NA	NA
PKNOX1	NA	NA
USP25	NA	NA
WRB	NA	NA
ZBTB21/ZNF295	NA	NA
KDELC1/KDEL1	NA	NA
EEA1	NA	NA
CTSZ	NA	NA
MECP2	NA	NA
GABARAP	NA	NA
GABARAPL1	NA	NA
GABBR1	NA	NA
GRIA2	NA	NA
GRIA1	NA	NA
GLUD1	NA	NA
GLRA3	NA	NA
GNAS/GNAS1	NA	NA
GNAT1	NA	NA
GNB1L/GBL	NA	NA
DDC	NA	NA
DBH	NA	NA
DAO	NA	NA
COMT	NA	NA
CHRNB4	NA	NA
GABRB2	NA	NA
GABRB3	NA	NA
GABRD	NA	NA
GABRG2	NA	NA
GRIP1	NA	NA
GRIN2D	NA	NA
GRIN2C	NA	NA
GRIN2B	NA	NA
GRIN2A	NA	NA
RGS2	NA	NA
RGS3	NA	NA
RGS4	NA	NA
RGS5	NA	NA
RGS6	NA	NA
MAOB	NA	NA
MAOA	NA	NA
HTR7	NA	NA
HTR3A/HTR3	NA	NA
HTR2C	NA	NA
