nodeName	altName	nodeAttr[nodesPresent, ]
CRHR1	NA	magenta
Hcrtr1.&.Hcrtr2	NA	NA
CAMK2A	NA	NA
AKAP1	NA	NA
CDK5	NA	NA
DUSP4	NA	NA
DUSP5	NA	NA
DYRK1A	NA	NA
EIF2AK2/PRKR	NA	NA
MAPK13/SAPK4	NA	NA
ITPKB	NA	NA
ITPKA	NA	NA
FYN	NA	NA
EPHA2	NA	NA
MAPK8	NA	NA
MAPK9	NA	NA
PPP1CA	NA	NA
PPP1CC	NA	NA
PPP3CB	NA	NA
PRKAG3	NA	NA
PRKCA	NA	NA
PRKCI	NA	NA
RPS6KB1	NA	NA
CSTB	NA	NA
HMGCS1	NA	NA
LIPA	NA	NA
SOD2	NA	NA
SIRT6	NA	NA
XRCC6	NA	NA
HSPA1A/HSP70	NA	NA
HSPA5/BIP	NA	NA
CYP11B2	NA	NA
ABCG1	NA	NA
HMGCR	NA	NA
NR4A2	NA	NA
NR3C1	NA	NA
SPRY2	NA	NA
SYNPO	NA	NA
ELAVL4	NA	NA
ELAVL2	NA	NA
ELAVL1	NA	NA
CREM	NA	NA
PIWIL1	NA	NA
