nodeName	altName	nodeAttr[nodesPresent, ]
APLP2	NA	pink
TRADD	NA	NA
TP53	NA	NA
CCNB1	NA	NA
ACTG	NA	NA
BTG3	NA	NA
LRP1	NA	NA
MAPT1	NA	NA
SORL1	NA	NA
CLIC6	NA	NA
CLCN5	NA	NA
NEFL	NA	NA
DNMT3L	NA	NA
CCT8	NA	NA
U2AF1	NA	NA
RAB11A	NA	NA
RAB10	NA	NA
DBN1	NA	NA
ATG10	NA	NA
ATG12	NA	NA
SORCS2	NA	NA
RAB7A	NA	NA
PPT1	NA	NA
GABRA1	NA	NA
GABRB1	NA	NA
NOS1	NA	NA
GRIN1	NA	NA
GRIK3	NA	NA
ITPR1	NA	NA
RGS10	NA	NA
RGS12	NA	NA
RGS13	NA	NA
JUNB	NA	NA
DRD3	NA	NA
GABRG3	NA	NA
GAD1/GAD67	NA	NA
SLC6A11/GAT4	NA	NA
PFKM	NA	NA
PFKP	NA	NA
SLC2A1	NA	NA
GRM5	NA	NA
GRM2	NA	NA
RGS7	NA	NA
ARC	NA	NA
FOSB	NA	NA
JUN/CJUN	NA	NA
CHRM2	NA	NA
SLC6A2/NET	NA	NA
