nodeName	altName	nodeAttr[nodesPresent, ]
APH1B	NA	red
CNR2	NA	NA
FAAH	NA	NA
LEP	NA	NA
PDYN	NA	NA
NPEPPS/PSA	NA	NA
CIT	NA	NA
CSNK2A1	NA	NA
CSNK2A2	NA	NA
CSNK2B	NA	NA
DUSP1/MKP-1	NA	NA
GSK3B	NA	NA
GPLD1	NA	NA
FRK	NA	NA
MAPKAPK2/MAPKAPK	NA	NA
MARCKS	NA	NA
MTOR/FRAP1	NA	NA
PPM1G/PPP2CG	NA	NA
PRKAA1	NA	NA
PPP3CC	NA	NA
PPP2R5C	NA	NA
PPP2R1B	NA	NA
PRKCB/PRKCB1	NA	NA
PRKCE	NA	NA
PTEN	NA	NA
CAPNS1	NA	NA
CAPN2	NA	NA
TIMP1	NA	NA
PPARG	NA	NA
DNAJC5	NA	NA
DNAJA3	NA	NA
HSPA9	NA	NA
HSPD1/HSP60	NA	NA
HSPE1	NA	NA
NCOA1	NA	NA
NCOA3	NA	NA
STARD3	NA	NA
NURR77/NR4A1	NA	NA
NR5A1/SF1	NA	NA
SNCG	NA	NA
ADARB1/RED1	NA	NA
ATF4	NA	NA
EGR2	NA	NA
DHX9/RHA	NA	NA
DDX17	NA	NA
PINK1	NA	NA
POLR2C	NA	NA
RAC1	NA	NA
TFE3	NA	NA
TAF10/TBPAF	NA	NA
SUV39H2	NA	NA
