nodeName	altName	nodeAttr[nodesPresent, ]
A2M	NA	turquoise
ADAM10	NA	NA
ADAM17	NA	NA
APBA1	NA	NA
APBB1	NA	NA
APCS	NA	NA
APH1A	NA	NA
APLP1	NA	NA
CASP9	NA	NA
CASP8	NA	NA
CASP7	NA	NA
CASP6	NA	NA
CASP5	NA	NA
CASP4	NA	NA
CASP3	NA	NA
CASP2	NA	NA
CASP10	NA	NA
CASP1	NA	NA
CARD18/ICEBERG	NA	NA
KCND2	NA	NA
PVALB	NA	NA
VDAC1	NA	NA
VDAC2	NA	NA
ACAN	NA	NA
ACTB	NA	NA
ANKRD20A1/DKFZP434A171	NA	NA
AP1S1	NA	NA
C21ORF49	NA	NA
C21ORF37	NA	NA
BRWD1/C21ORF107	NA	NA
BACH1-IT3/C21ORF8	NA	NA
BACH1	NA	NA
B3GALT5	NA	NA
ATP5O	NA	NA
ATP5J	NA	NA
ANKRD30BP1/C21ORF110	NA	NA
AGPAT3	NA	NA
BACE1	NA	NA
BPTF/FALZ	NA	NA
KCNIP3	NA	NA
NFKB1/NFKB	NA	NA
GADD45A/GADD45	NA	NA
FAS/FASLR	NA	NA
DIABLO/SMAC	NA	NA
DAXX	NA	NA
CCNG1	NA	NA
CCNE1	NA	NA
CCND2	NA	NA
ASTN2	NA	NA
CAV1	NA	NA
CAV2	NA	NA
CAV3	NA	NA
CDH2	NA	NA
CLTC	NA	NA
DYNC1H1/DNCH1	NA	NA
DYNC2H1/DNCH2	NA	NA
DYNLL1/DNCLC1	NA	NA
EPYC/DSPG3	NA	NA
FLNA	NA	NA
DIP2A	NA	NA
CHODL	NA	NA
CHAF1B	NA	NA
CBS	NA	NA
C2CD2/C21ORF25	NA	NA
C21ORF91	NA	NA
C21ORF79	NA	NA
C21ORF77	NA	NA
C21ORF63	NA	NA
C21ORF59	NA	NA
FAM3B	NA	NA
FTCD	NA	NA
GABPA	NA	NA
GART	NA	NA
GRIK1-AS1/C21ORF9	NA	NA
GRIK1-AS2/C21ORF41	NA	NA
HLCS	NA	NA
HMGN1	NA	NA
HUNK	NA	NA
ICOSLG	NA	NA
PDXK	NA	NA
PDE9A	NA	NA
PCP4	NA	NA
PAXBP1/C21ORF66	NA	NA
OLIG2	NA	NA
OLIG1	NA	NA
NRIP1	NA	NA
NDUFV3	NA	NA
TRPM2	NA	NA
TTC3	NA	NA
UBE2G2	NA	NA
UMODL1	NA	NA
URB1/C21ORF108	NA	NA
CTSH	NA	NA
CTSG	NA	NA
CTSE	NA	NA
CTSD	NA	NA
CTSC	NA	NA
CTSB	NA	NA
CANX	NA	NA
CALR3	NA	NA
IGSF5	NA	NA
IL10RB	NA	NA
ITGB2	NA	NA
ITSN1	NA	NA
JAM2	NA	NA
KCNJ15	NA	NA
RIPPLY3/DSCR6	NA	NA
PWP2	NA	NA
PTTG1IP	NA	NA
PSMG1/DSCR2	NA	NA
PRMT2	NA	NA
PRDM15	NA	NA
PIGP/DSCR5	NA	NA
AFP	NA	NA
DAB1	NA	NA
DCX	NA	NA
DISC1	NA	NA
DLX1	NA	NA
EMX2	NA	NA
PEX5	NA	NA
NPC2	NA	NA
MYO5A	NA	NA
M6PR/CDMPR	NA	NA
LAMP2	NA	NA
LAMP1	NA	NA
GABRA2	NA	NA
GABRA3	NA	NA
GABRA4	NA	NA
GABRA5	NA	NA
GABRA6	NA	NA
GRIK5	NA	NA
GRIA4	NA	NA
GRIA3	NA	NA
HTR1B	NA	NA
DRD5	NA	NA
DRD4	NA	NA
GABRG1	NA	NA
SLC6A1/GAT1	NA	NA
SLC6A13/GAT3	NA	NA
GRM3	NA	NA
GRIP2	NA	NA
