nodeName	altName	nodeAttr[nodesPresent, ]
GALR1	NA	yellow
GALR2	NA	NA
GALR3	NA	NA
Hcrt	NA	NA
ADRBK1	NA	NA
ABL1	NA	NA
SST	NA	NA
POMC	NA	NA
MAP3K3	NA	NA
ITPKC	NA	NA
MAPK14/MAPK	NA	NA
PPP3CA	NA	NA
PPP2R3A	NA	NA
CBR3	NA	NA
CBR1	NA	NA
CAT	NA	NA
CAST	NA	NA
ACP2	NA	NA
ECE2	NA	NA
GSR	NA	NA
GSTM1	NA	NA
UBE2E1	NA	NA
PTGS2	NA	NA
PTGS1	NA	NA
PSMD4	NA	NA
PRMT1	NA	NA
EP300	NA	NA
Foxo3	NA	NA
RELA	NA	NA
NMRK2	NA	NA
NMRK1	NA	NA
NADSYN1	NA	NA
CYCS	NA	NA
ESR2	NA	NA
GNRH1/GNRH	NA	NA
HSD17B1	NA	NA
NCOA2	NA	NA
STAR	NA	NA
SRA1	NA	NA
NR4A3	NA	NA
CTNNB1	NA	NA
DLG4	NA	NA
DNM1	NA	NA
GAP43	NA	NA
HOMER1	NA	NA
NPTX1	NA	NA
NPTXR	NA	NA
SNAP25	NA	NA
SNCB	NA	NA
SNCA	NA	NA
SYP	NA	NA
SYT1	NA	NA
VAPB	NA	NA
AFF4/LAF4	NA	NA
CREB1/CREB	NA	NA
ELAVL3	NA	NA
NAB1	NA	NA
NRF1	NA	NA
TAF1	NA	NA
