"","kTotal","kWithin","kOut","kDiff","module"
"SIRT2",5.66726207046304,5.52311933674474,0.144142733718305,5.37897660302643,"black"
"SIRT1",5.56782436639271,5.37241825532917,0.195406111063541,5.17701214426563,"black"
"SESN3",5.3786724072153,5.25945477387326,0.119217633342039,5.14023714053122,"black"
"ESR1",5.01598004412482,4.84205605988129,0.173923984243533,4.66813207563775,"black"
"Cox4i1",4.90841636697317,4.77388023678378,0.134536130189393,4.63934410659439,"black"
"CCAR2",4.85852682710692,4.68923265286892,0.169294174237995,4.51993847863093,"black"
"HSP90AA1",4.42034423024391,4.26227272899903,0.158071501244881,4.10420122775415,"black"
"UCP2",4.31420117559075,4.06253493042605,0.251666245164694,3.81086868526136,"black"
"HIC1",4.24560686566665,4.0516516570794,0.193955208587245,3.85769644849216,"black"
"Naprt1",3.96302389431949,3.76576144144987,0.197262452869619,3.56849898858025,"black"
"NR3C2",3.87574489439737,3.65085115127856,0.224893743118807,3.42595740815975,"black"
"SIRT3",3.67874476487028,3.53178143983688,0.146963325033399,3.38481811480348,"black"
"UCP3",3.96065248909839,3.50033430176239,0.460318187335999,3.04001611442639,"black"
"Tfam",3.89587500959493,3.49254647248086,0.403328537114064,3.0892179353668,"black"
"DNAJA1",3.60613919423032,3.37255190478549,0.233587289444832,3.13896461534066,"black"
"DNAJB6",3.50215383843584,3.00839581168376,0.493758026752083,2.51463778493167,"black"
"SIRT4",3.37799407655339,2.96282925018404,0.415164826369357,2.54766442381468,"black"
"EPAS1",3.33688078394612,2.92354321930959,0.413337564636527,2.51020565467307,"black"
"ACSS2",3.0647718329663,2.87928339693111,0.185488436035187,2.69379496089592,"black"
"DLG3",2.75572608928662,2.6126959317037,0.143030157582919,2.46966577412079,"black"
"SIRT5",2.8696866886393,2.59566676357066,0.274019925068641,2.32164683850202,"black"
"PRKAG2",2.83300464050279,2.5745096457021,0.258494994800692,2.31601465090141,"black"
"GH1",2.86809446705753,2.32510599430193,0.542988472755599,1.78211752154633,"black"
"Foxo1",2.63102589194915,2.30003767378674,0.330988218162415,1.96904945562432,"black"
"RARB",2.7171532266875,2.25210727212438,0.465045954563116,1.78706131756126,"black"
"MME/NEP",2.33004432547605,2.23988116568225,0.0901631597937937,2.14971800588846,"black"
"AR",2.70083593252946,2.22788680021682,0.472949132312634,1.75493766790419,"black"
"ACSS1",2.21996834544962,2.10627734421028,0.113691001239344,1.99258634297093,"black"
"SIRT7",2.97391579522973,1.97511567881252,0.998800116417202,0.976315562395321,"black"
"HSPA13/STCH",2.50994042935528,1.84175133307983,0.668189096275449,1.17356223680438,"black"
"HSF2BP",1.95906183227341,1.70138272031627,0.257679111957149,1.44370360835912,"black"
"DDX1",1.68697662236385,1.49691612811735,0.190060494246498,1.30685563387085,"black"
"CREBBP",1.53008838271731,1.42514498659566,0.104943396121646,1.32020159047402,"black"
"ERN1",1.48022807960601,1.40883918854455,0.0713888910614595,1.33745029748309,"black"
"STX4A",1.59174259484639,1.34218136988718,0.249561224959204,1.09262014492798,"black"
"USP8",1.60841203924785,1.25965883810454,0.348753201143309,0.910905636961234,"black"
"SNCAIP",1.93574950822022,1.16826079243427,0.767488715785947,0.400772076648324,"black"
"HSPA8/HSC70",1.31237295793503,1.13712320161704,0.175249756317993,0.961873445299046,"black"
"MAPK3/ERK1",1.18294938862637,1.04899413430029,0.133955254326088,0.915038879974197,"black"
"PPP2R1A",1.16286881087845,1.02293541522884,0.139933395649609,0.883002019579233,"black"
"MLH1",1.05143251495452,0.940141256097623,0.111291258856894,0.82884999724073,"black"
"RPS19BP1",0.972806079938939,0.926683007992983,0.0461230719459562,0.880559936047027,"black"
