"","gene_name","Module","kME","kWithin","logFC","adj.P.Val","kWithinRank","kMERank"
"1","A2M","turquoise",0.756212197569024,9.48538358026345,-0.0936408303927611,0.904556856818977,65,101
"2","ADAM10","turquoise",0.53977455051818,1.32865448970141,0.100204814401182,0.945678450261546,133,134
"3","ADAM17","turquoise",0.770587387494791,7.74418145795826,-0.0682197107536031,0.945678450261546,81,93
"4","ADAM9","grey",0.118468042999693,NA,2.84837649225048,7.69645611481821e-07,1,15
"5","APBA1","turquoise",0.843340910179732,12.853253880608,-0.192916656088362,0.755888484570737,33,64
"6","APBB1","turquoise",0.707089400084166,1.44846358993782,-0.0660164427894671,0.947503077527357,132,120
"7","APCS","turquoise",0.825772413965236,11.6517549718782,-0.250902370598552,0.612347411632899,42,73
"8","APH1A","turquoise",0.737490543704095,4.50708572968705,-0.17484009057904,0.821121700168544,115,108
"9","APH1B","red",0.502617445582798,0.101827818530508,3.6931625994942,1.62012978575096e-11,51,49
"10","APLP1","turquoise",0.809038223529464,13.3548814171773,-0.268425599310339,0.518924644909853,28,83
"11","APLP2","pink",0.500304470757971,0.182877502933193,-0.0299362694341649,0.976112336094723,47,47
"12","APP/ABPP","brown",0.619339270737974,1.79712440389664,0.357357398286487,0.571669249520283,101,107
"13","MAPT1N6P","brown",0.753378077542761,4.80918361863703,0.150947205846081,0.92045838183307,70,87
"14","MAPT2","brown",0.793301033093886,4.84643250405146,-0.00957514745519549,0.996715007742935,69,76
"15","MAPT2N6D","blue",0.875008632641756,13.0377667022069,-0.123727352068106,0.837268691133651,70,73
"16","MAPT2N6P","blue",0.920043779982351,20.4592246302762,-0.183092939441642,0.755888484570737,40,45
"17","MAPT3","blue",0.945634139837962,26.0910630199909,-0.215245100758032,0.715795587880078,12,16
"18","MAPT4","blue",0.934236655219713,25.4025560094698,-0.209993703456252,0.725395262173181,18,30
"19","MAPT5","brown",0.722054422432871,2.94853624940492,0.509312559375521,0.293832187722825,90,93
"20","MAPT","brown",0.766018178821565,4.31361091508218,0.0477487426119207,0.953523000010282,80,82
"21","NCSTN","purple",0.837874084869506,1.08706149870415,-0.262626779149945,0.92045838183307,16,14
"22","PARK7/DJ1","blue",0.796767205463842,5.1798956841235,-0.119558731605481,0.874985847428694,110,99
"23","PRNP","brown",0.672634799025866,1.28025293708972,0.434872728154966,0.670830121323734,108,103
"24","PSEN1","blue",0.895568922866294,16.4356346127334,-0.377242655902511,0.305277665166396,55,58
"25","CLCN4","brown",0.643994635519713,1.62947303574166,-0.172067166334955,0.821121700168544,103,106
"26","CLCN2","brown",0.491535288588384,0.334554166912408,0.570191577552336,0.348462919604717,115,115
"27","CALB2","brown",0.820123577462101,4.70804691802037,0.0583401314667639,0.953523000010282,72,66
"28","CALB1","blue",0.91222052471419,17.1174158358971,-0.157683580647313,0.821121700168544,54,51
"29","CACNA1C","brown",0.86870570684915,8.31064975124273,-0.00446044985528404,0.996811283917838,17,28
"30","CACNA1B","brown",0.879248893516603,6.88881045867681,0.174496858221027,0.848026464349788,40,26
"31","CACNA1A","brown",0.555626454026561,1.4259925699195,2.55050434251401,0.000166206463943735,105,113
"32","TRADD","pink",0.839037950039762,1.84956471455506,1.28740892667115,0.509580301835223,24,21
"33","TP53","pink",0.680134702433426,1.14772903956437,0.13846983694235,0.888991415857519,35,40
"34","RBL2","brown",0.865850828540152,6.5730012545178,0.0781978658377426,0.930444752058401,50,31
"35","RASSF2","blue",0.890271939847513,15.715725979448,-0.82605566716185,0.000126973305761541,60,64
"36","RAP1B","brown",0.585623194360831,2.18494218912193,2.27154534535949,0.00825181743736875,96,110
"37","CCNB1","pink",0.811292464899367,1.4334379315738,0.218566574560975,0.850078547522195,31,24
"38","CASP9","turquoise",0.725191027931163,4.35951919219199,-0.0455494114266969,0.956059109870934,116,113
"39","CASP8","turquoise",0.845308050993748,12.2485702798305,-0.195420293692575,0.732425579667965,39,60
"40","CASP7","turquoise",0.811578823465427,9.99052683915945,-0.182613144902979,0.765337221117942,61,81
"41","CASP6","turquoise",0.834211440453414,16.0400389646065,-0.276295140528196,0.548788754978351,16,70
"42","CASP5","turquoise",0.848867197739793,17.6830081716172,-0.296179867002985,0.473211425102128,8,58
"43","CASP4","turquoise",0.86739308823602,18.0638205984916,-0.288900270437782,0.496875034886708,7,42
"44","CASP3","turquoise",0.861433911243178,18.1931155369101,-0.255065677536589,0.63089128684223,5,47
"45","CASP2","turquoise",0.852205323692011,17.542790405091,-0.230109381201192,0.686471651328705,11,55
"46","CASP10","turquoise",0.825282500862592,15.141718733418,-0.245361018751156,0.650223171662943,19,75
