"","Module","Trait","Correlation","Pval","FDR"
"1","MElightcyan","p75",0.0209368503743709,0.852818682426748,0.852818682426748
"2","MElightcyan","TOC1",-0.0209368503743709,0.852818682426748,0.852818682426748
"3","MElightcyan","age_death",0.0663426534547603,0.55622868461682,0.794532456874472
"4","MElightcyan","Male",-0.0873723313856856,0.437977045654254,0.915580913096101
"5","MElightcyan","Female",0.0873723313856856,0.437977045654254,0.915580913096101
"6","MElightcyan","educ_yrs",-0.0359941289417281,0.749714755151732,0.942299324605711
"7","MElightcyan","NCI",0.0751448847413312,0.504940839498284,0.981458247607914
"8","MElightcyan","MCI",0.0215289315037513,0.848705099871635,0.898628929275848
"9","MElightcyan","AD",-0.092071609924853,0.413640754077344,0.77984685054651
"10","MElightcyan","MMSE",0.105886102785563,0.346801558470724,0.980847599216258
"11","MElightcyan","GCS",0.173019966164489,0.122430597000408,0.515664591102417
"12","MElightcyan","APOE2",0.208844059979285,0.0613351542432306,0.552016388189075
"13","MElightcyan","APOE3",0.0528715959324325,0.639229395703115,0.958844093554672
"14","MElightcyan","APOE4",-0.145091412956171,0.196226494958582,0.910962030308194
"15","MElightcyan","PMI_hrs",-0.0658254547676734,0.559317963574967,0.914654483330289
"16","MElightcyan","CERAD",-0.0558578220828752,0.620392826424331,0.919115574933375
"17","MElightcyan","BRAAK",-0.0276975536205539,0.806107573833698,0.946679378401562
"18","MElightcyan","NIAREAGAN",-0.051932544175521,0.645201000113413,0.952213388865865
"19","MEmagenta","p75",0.0442403819359705,0.694934855177147,0.852818682426748
"20","MEmagenta","TOC1",-0.0442403819359705,0.694934855177147,0.852818682426748
"21","MEmagenta","age_death",0.0465795825922977,0.679661787709832,0.794532456874472
"22","MEmagenta","Male",-0.102948032778544,0.360420321675414,0.915580913096101
"23","MEmagenta","Female",0.102948032778544,0.360420321675414,0.915580913096101
"24","MEmagenta","educ_yrs",0.120732005678788,0.282987447278722,0.820716257513564
"25","MEmagenta","NCI",-0.00326334643110017,0.976933424492678,0.981458247607914
"26","MEmagenta","MCI",0.0969370994327301,0.389291052010156,0.898628929275848
"27","MEmagenta","AD",-0.0915429937110502,0.416338454032846,0.77984685054651
"28","MEmagenta","MMSE",-0.00685359985216598,0.951578715817345,0.980847599216258
"29","MEmagenta","GCS",0.0922960914367424,0.412498229475567,0.6749971027782
"30","MEmagenta","APOE2",0.0240297234213467,0.831376236611955,0.965379293761985
"31","MEmagenta","APOE3",0.0119275002302582,0.915834062519967,0.967935844245649
"32","MEmagenta","APOE4",-0.022783679175645,0.840001006953263,0.912414730149888
"33","MEmagenta","PMI_hrs",-0.0928108904945587,0.409885039263372,0.914654483330289
"34","MEmagenta","CERAD",-0.100366105210124,0.372656101495376,0.919115574933375
"35","MEmagenta","BRAAK",-0.00754802545707246,0.946679378401562,0.946679378401562
"36","MEmagenta","NIAREAGAN",-0.081628897373785,0.468788500077721,0.952213388865865
"37","MEblack","p75",-0.0449106894841461,0.690545538948447,0.852818682426748
"38","MEblack","TOC1",0.0449106894841461,0.690545538948447,0.852818682426748
"39","MEblack","age_death",-0.0500070227434644,0.657515843171307,0.794532456874472
"40","MEblack","Male",-0.0370904407351594,0.742353198830891,0.915580913096101
"41","MEblack","Female",0.0370904407351594,0.742353198830891,0.915580913096101
"42","MEblack","educ_yrs",0.0312718961019722,0.781672330275307,0.942299324605711
"43","MEblack","NCI",-0.00262306969387953,0.981458247607914,0.981458247607914
"44","MEblack","MCI",-0.0912385747846272,0.417896612248758,0.898628929275848
"45","MEblack","AD",0.0915462329409321,0.41632189224455,0.77984685054651
"46","MEblack","MMSE",-0.0105674227613436,0.92540214786343,0.980847599216258
"47","MEblack","GCS",0.0395608508464571,0.725850196334599,0.871020235601519
"48","MEblack","APOE2",0.127992117723103,0.254821790280651,0.965379293761985
"49","MEblack","APOE3",-0.00453685837774048,0.967935844245649,0.967935844245649
"50","MEblack","APOE4",-0.050430367837017,0.654800322883219,0.912414730149888
"51","MEblack","PMI_hrs",-0.0743950924997932,0.50921235128288,0.914654483330289
"52","MEblack","CERAD",-0.022751398668199,0.840224698839073,0.924947167871543
"53","MEblack","BRAAK",-0.0630260598644311,0.576179251871413,0.946679378401562
"54","MEblack","NIAREAGAN",-0.0852777902075968,0.449078981169825,0.952213388865865
"55","MEmidnightblue","p75",-0.0412643012718254,0.714542460396576,0.852818682426748
"56","MEmidnightblue","TOC1",0.0412643012718254,0.714542460396576,0.852818682426748
"57","MEmidnightblue","age_death",-0.202309784044105,0.0700995328051513,0.427446886985269
"58","MEmidnightblue","Male",0.135791867065217,0.226762927543648,0.915580913096101
"59","MEmidnightblue","Female",-0.135791867065217,0.226762927543648,0.915580913096101
"60","MEmidnightblue","educ_yrs",0.120704219969181,0.28309906797511,0.820716257513564
"61","MEmidnightblue","NCI",0.0721576997461917,0.522068081961713,0.981458247607914
"62","MEmidnightblue","MCI",-0.0448220536177853,0.691125363983461,0.898628929275848
"63","MEmidnightblue","AD",-0.0244760205744691,0.828291874788316,0.936926876555345
"64","MEmidnightblue","MMSE",0.0265878449516753,0.813732994399708,0.980847599216258
"65","MEmidnightblue","GCS",0.0970929665208315,0.388525423627389,0.6749971027782
"66","MEmidnightblue","APOE2",0.0661557282364021,0.557344264900466,0.965379293761985
"67","MEmidnightblue","APOE3",0.111077543690661,0.323535323569127,0.958844093554672
"68","MEmidnightblue","APOE4",-0.144249684188955,0.19886215005734,0.910962030308194
"69","MEmidnightblue","PMI_hrs",-0.0574657503377546,0.610349553901745,0.914654483330289
"70","MEmidnightblue","CERAD",-0.149761952550727,0.182057165844979,0.919115574933375
"71","MEmidnightblue","BRAAK",-0.151997956085967,0.175543534100319,0.946679378401562
"72","MEmidnightblue","NIAREAGAN",-0.213660900867189,0.0554619554266085,0.74338377914941
"73","MEgreen","p75",0.105121448575937,0.350314620466039,0.819951169758296
"74","MEgreen","TOC1",-0.105121448575937,0.350314620466039,0.819951169758296
